FID,NROH,SROH,FROH
A12_1,701.0,95252.694,0.08058467200216579
A12_2,744.0,99535.726,0.08420815722238202
A12_3,447.0,56382.043,0.047699736891084754
A12_4,486.0,63075.008,0.053362048019492056
A12_5,1374.0,184044.547,0.15570341195580445
A12_6,1134.0,147622.696,0.12489018459924536
A12_7,1316.0,172950.396,0.14631765621563086
A12_8,319.0,40336.200000000004,0.0341248033028206
A12_9,617.0,75906.155,0.06421731865789072
A20_1,1350.0,179034.34600000002,0.15146473494526322
A20_2,1363.0,180928.042,0.15306681951236017
A20_3,754.0,91876.69400000002,0.07772854435627148
A20_4,764.0,94143.768,0.07964651021133314
A20_5,760.0,89686.619,0.07587572037698179
A20_6,718.0,86815.812,0.07344699074465745
A20_7,680.0,82122.72200000001,0.06947659261264616
A20_8,732.0,87755.744,0.07424218202737687
A22_1,190.0,24300.936,0.020558819647721698
A22_2,590.0,69449.302,0.05875476049474628
A22_3,1007.0,119917.662,0.10145146613424476
A22_4,824.0,98574.17499999999,0.08339467606301076
A22_5,763.0,90417.913,0.07649440195597368
A22_6,311.0,35812.511,0.03029772000473765
A22_7,296.0,33140.706000000006,0.028037347929815066
A22_8,421.0,49359.42,0.04175853200453461
A32_1,1322.0,168647.49,0.14267735740512005
A32_2,394.0,47213.981,0.03994347049965313
A32_3,264.0,30507.759,0.025809850087138965
A32_4,582.0,71299.127,0.06031972978460601
A32_5,797.0,97889.35399999999,0.08281531107764674
A32_6,1015.0,126602.68400000001,0.10710705741019612
A32_7,723.0,90879.93,0.07688527266882117
A33_1,1040.0,133719.68,0.11312810273937834
A33_2,1478.0,195698.35600000003,0.16556264361009124
A33_3,514.0,59411.581999999995,0.050262755283328533
A33_4,622.0,75314.065,0.06371640496776705
A33_5,244.0,29061.311,0.024586141520448048
A33_6,517.0,62577.05699999999,0.052940776805807
A33_7,617.0,74363.627,0.06291232551056665
A33_8,549.0,62713.811,0.05305647197170945
A41_1,1269.0,168413.12,0.1424790781881863
A41_2,1256.0,167476.43699999998,0.1416866355899223
A41_3,749.0,91779.868,0.07764662865264547
A41_4,722.0,88965.78099999999,0.07526588467200215
A41_5,726.0,89191.348,0.07545671646841846
A41_6,553.0,65954.075,0.055797765689243835
A41_7,706.0,87494.873,0.0740214827160285
A41_8,758.0,92142.81900000002,0.07795368860086971
AM36_1,579.0,67531.10399999999,0.05713194700597282
AM36_2,277.0,35769.112,0.030261004043924806
AM36_3,967.0,122437.56899999999,0.10358333107730833
AM36_4,532.0,65513.676999999996,0.05542518485304817
AM36_5,608.0,77218.902,0.06532791492529737
AM36_6,903.0,115293.751,0.09753959408470246
AM7_1,894.0,117933.95300000001,0.09977322972538537
AM7_2,618.0,77997.17300000001,0.06598633948664152
AM7_3,416.0,52757.413,0.04463326593458655
AM7_4,495.0,63995.847,0.05414108644523782
AM7_5,314.0,39078.936,0.0330611461734996
AM7_6,381.0,49401.768,0.041794358809495606
M23_1,1090.0,136937.494,0.1158504035464713
M23_2,1061.0,131409.658,0.1111738024737314
M23_3,587.0,70765.965,0.05986866973486066
M23_4,461.0,57442.452,0.048596852845129525
M23_5,478.0,56905.063,0.04814221671376119
M23_6,527.0,61744.909,0.05223677179743152
M23_7,500.0,58727.638,0.04968413224818531
M23_8,558.0,66076.898,0.055901675098560095
M27_1,976.0,119782.683,0.1013372726349808
M27_2,1092.0,141028.968,0.11931182890306424
M27_3,462.0,53391.886,0.04517003603999932
M27_4,474.0,54440.852,0.046057471108779884
M27_5,440.0,49672.671,0.04202354528688178
M27_6,474.0,54560.789,0.0461589389350434
M27_7,449.0,51993.585999999996,0.043987061132637346
M27_8,458.0,53229.028999999995,0.045032257491413
M29_1,952.0,119691.72,0.1012603170843133
M29_2,955.0,121492.755,0.10278400957682611
M29_3,429.0,51699.76899999999,0.04373848919646029
M29_4,435.0,51529.878,0.04359475981793878
M29_5,208.0,25507.047,0.02157920085954552
M29_6,403.0,47737.308999999994,0.040386210893216694
M29_7,460.0,52725.868,0.04460657856889055
M29_8,435.0,50950.248999999996,0.043104388250621815
M31_1,93.0,12408.591,0.01049778430145006
M31_10,546.0,67501.233,0.05710667585996852
M31_2,686.0,83509.187,0.0706495549990694
M31_3,927.0,114091.18,0.09652220774606182
M31_4,1205.0,147467.22100000002,0.12475865129185633
M31_5,377.0,44331.078,0.03750450753794352
M31_6,694.0,82678.89799999999,0.06994712272211975
M31_7,993.0,124927.066,0.10568946887531515
M31_8,44.0,5374.4580000000005,0.004546841847007666
M31_9,702.0,82408.454,0.06971832456303616
M35_1,1135.0,139852.856,0.11831682712644456
M35_2,1109.0,137366.011,0.11621293294529703
M35_3,573.0,66617.607,0.056359119981049394
M35_4,581.0,68241.17799999999,0.05773267626605302
M35_5,519.0,60766.77099999999,0.05140925788057731
M35_6,483.0,56988.989,0.048213218896465376
M35_7,508.0,57986.366,0.0490570091876618
M35_8,27.0,2732.908,0.0023120657856889053
M8_1,1110.0,143227.278,0.12117161976954705
M8_2,1082.0,140175.799,0.11859003993164244
M8_3,539.0,63491.35699999999,0.053714283176257586
M8_4,549.0,65559.002,0.05546353022791492
M8_5,552.0,66464.063,0.05622922031776112
M8_6,559.0,66807.026,0.05651937023062215
M8_7,592.0,70923.864,0.06000225376897176
M8_8,516.0,61717.600000000006,0.05221366812744286
