FID,NROH,SROH,FROH,Population,Species
A12_1,701,95252.694,0.0805846720021658,A12,A
A12_2,744,99535.726,0.084208157222382,A12,A
A12_3,447,56382.043,0.0476997368910848,A12,A
A12_4,486,63075.008,0.0533620480194921,A12,A
A12_5,1374,184044.547,0.155703411955804,A12,A
A12_6,1134,147622.696,0.124890184599245,A12,A
A12_7,1316,172950.396,0.146317656215631,A12,A
A12_8,319,40336.2,0.0341248033028206,A12,A
A12_9,617,75906.155,0.0642173186578907,A12,A
A20_1,1350,179034.346,0.151464734945263,A20,A
A20_2,1363,180928.042,0.15306681951236,A20,A
A20_3,754,91876.694,0.0777285443562715,A20,A
A20_4,764,94143.768,0.0796465102113331,A20,A
A20_5,760,89686.619,0.0758757203769818,A20,A
A20_6,718,86815.812,0.0734469907446575,A20,A
A20_7,680,82122.722,0.0694765926126462,A20,A
A20_8,732,87755.744,0.0742421820273769,A20,A
A22_1,190,24300.936,0.0205588196477217,A22,A
A22_2,590,69449.302,0.0587547604947463,A22,A
A22_3,1007,119917.662,0.101451466134245,A22,A
A22_4,824,98574.175,0.0833946760630108,A22,A
A22_5,763,90417.913,0.0764944019559737,A22,A
A22_6,311,35812.511,0.0302977200047377,A22,A
A22_7,296,33140.706,0.0280373479298151,A22,A
A22_8,421,49359.42,0.0417585320045346,A22,A
A32_1,1322,168647.49,0.14267735740512,A32,A
A32_2,394,47213.981,0.0399434704996531,A32,A
A32_3,264,30507.759,0.025809850087139,A32,A
A32_4,582,71299.127,0.060319729784606,A32,A
A32_5,797,97889.354,0.0828153110776467,A32,A
A32_6,1015,126602.684,0.107107057410196,A32,A
A32_7,723,90879.93,0.0768852726688212,A32,A
A33_1,1040,133719.68,0.113128102739378,A33,A
A33_2,1478,195698.356,0.165562643610091,A33,A
A33_3,514,59411.582,0.0502627552833285,A33,A
A33_4,622,75314.065,0.0637164049677671,A33,A
A33_5,244,29061.311,0.024586141520448,A33,A
A33_6,517,62577.057,0.052940776805807,A33,A
A33_7,617,74363.627,0.0629123255105667,A33,A
A33_8,549,62713.811,0.0530564719717095,A33,A
A41_1,1269,168413.12,0.142479078188186,A41,A
A41_2,1256,167476.437,0.141686635589922,A41,A
A41_3,749,91779.868,0.0776466286526455,A41,A
A41_4,722,88965.781,0.0752658846720022,A41,A
A41_5,726,89191.348,0.0754567164684185,A41,A
A41_6,553,65954.075,0.0557977656892438,A41,A
A41_7,706,87494.873,0.0740214827160285,A41,A
A41_8,758,92142.819,0.0779536886008697,A41,A
AM36_1,579,67531.104,0.0571319470059728,AM36,AM
AM36_2,277,35769.112,0.0302610040439248,AM36,AM
AM36_3,967,122437.569,0.103583331077308,AM36,AM
AM36_4,532,65513.677,0.0554251848530482,AM36,AM
AM36_5,608,77218.902,0.0653279149252974,AM36,AM
AM36_6,903,115293.751,0.0975395940847025,AM36,AM
AM7_1,894,117933.953,0.0997732297253854,AM7,AM
AM7_2,618,77997.173,0.0659863394866415,AM7,AM
AM7_3,416,52757.413,0.0446332659345866,AM7,AM
AM7_4,495,63995.847,0.0541410864452378,AM7,AM
AM7_5,314,39078.936,0.0330611461734996,AM7,AM
AM7_6,381,49401.768,0.0417943588094956,AM7,AM
M23_1,1090,136937.494,0.115850403546471,M23,M
M23_2,1061,131409.658,0.111173802473731,M23,M
M23_3,587,70765.965,0.0598686697348607,M23,M
M23_4,461,57442.452,0.0485968528451295,M23,M
M23_5,478,56905.063,0.0481422167137612,M23,M
M23_6,527,61744.909,0.0522367717974315,M23,M
M23_7,500,58727.638,0.0496841322481853,M23,M
M23_8,558,66076.898,0.0559016750985601,M23,M
M27_1,976,119782.683,0.101337272634981,M27,M
M27_2,1092,141028.968,0.119311828903064,M27,M
M27_3,462,53391.886,0.0451700360399993,M27,M
M27_4,474,54440.852,0.0460574711087799,M27,M
M27_5,440,49672.671,0.0420235452868818,M27,M
M27_6,474,54560.789,0.0461589389350434,M27,M
M27_7,449,51993.586,0.0439870611326373,M27,M
M27_8,458,53229.029,0.045032257491413,M27,M
M29_1,952,119691.72,0.101260317084313,M29,M
M29_2,955,121492.755,0.102784009576826,M29,M
M29_3,429,51699.769,0.0437384891964603,M29,M
M29_4,435,51529.878,0.0435947598179388,M29,M
M29_5,208,25507.047,0.0215792008595455,M29,M
M29_6,403,47737.309,0.0403862108932167,M29,M
M29_7,460,52725.868,0.0446065785688906,M29,M
M29_8,435,50950.249,0.0431043882506218,M29,M
M31_1,93,12408.591,0.0104977843014501,M31,M
M31_10,546,67501.233,0.0571066758599685,M31,M
M31_2,686,83509.187,0.0706495549990694,M31,M
M31_3,927,114091.18,0.0965222077460618,M31,M
M31_4,1205,147467.221,0.124758651291856,M31,M
M31_5,377,44331.078,0.0375045075379435,M31,M
M31_6,694,82678.898,0.0699471227221198,M31,M
M31_7,993,124927.066,0.105689468875315,M31,M
M31_8,44,5374.458,0.00454684184700767,M31,M
M31_9,702,82408.454,0.0697183245630362,M31,M
M35_1,1135,139852.856,0.118316827126445,M35,M
M35_2,1109,137366.011,0.116212932945297,M35,M
M35_3,573,66617.607,0.0563591199810494,M35,M
M35_4,581,68241.178,0.057732676266053,M35,M
M35_5,519,60766.771,0.0514092578805773,M35,M
M35_6,483,56988.989,0.0482132188964654,M35,M
M35_7,508,57986.366,0.0490570091876618,M35,M
M35_8,27,2732.908,0.00231206578568891,M35,M
M8_1,1110,143227.278,0.121171619769547,M8,M
M8_2,1082,140175.799,0.118590039931642,M8,M
M8_3,539,63491.357,0.0537142831762576,M8,M
M8_4,549,65559.002,0.0554635302279149,M8,M
M8_5,552,66464.063,0.0562292203177611,M8,M
M8_6,559,66807.026,0.0565193702306222,M8,M
M8_7,592,70923.864,0.0600022537689718,M8,M
M8_8,516,61717.6,0.0522136681274429,M8,M
